sku_a,sku_b,substitute_group_id,note
15500303002644,W43717,GRP-079,Modèle équivalent — délai livraison différent
8808851,W43717,GRP-079,Modèle équivalent — délai livraison différent
15500303002548,W43709,GRP-080,Modèle équivalent — délai livraison différent
15500303002548,01t8c00000LNB8aAAH,GRP-080,Modèle équivalent — délai livraison différent
15500303002548,15122000A07444,GRP-080,Modèle équivalent — délai livraison différent
W43709,01t8c00000LNB8aAAH,GRP-080,Modèle équivalent — délai livraison différent
W43709,15122000A07444,GRP-080,Modèle équivalent — délai livraison différent
01t8c00000LNB8aAAH,15122000A07444,GRP-080,Modèle équivalent — délai livraison différent
W43705,01t8c00000LNB9UAAX,GRP-081,Modèle équivalent — délai livraison différent
W43705,01t8c00000LNB7iAAH,GRP-081,Modèle équivalent — délai livraison différent
W43705,W43808,GRP-081,Modèle équivalent — délai livraison différent
01t8c00000LNB9UAAX,01t8c00000LNB7iAAH,GRP-081,Modèle équivalent — délai livraison différent
01t8c00000LNB9UAAX,W43808,GRP-081,Modèle équivalent — délai livraison différent
01t8c00000LNB7iAAH,W43808,GRP-081,Modèle équivalent — délai livraison différent
43717,W43803,GRP-082,Option premium équivalente
43717,W1124,GRP-082,Option premium équivalente
W43803,W1124,GRP-082,Option premium équivalente
FV20VQ3,FV0511VK3,GRP-084,Alternative budgétaire — efficacité similaire
FV20VQ3,FV0511VKS3,GRP-084,Alternative budgétaire — efficacité similaire
FV20VQ3,FV30VQ3,GRP-084,Alternative budgétaire — efficacité similaire
FV0511VK3,FV0511VKS3,GRP-084,Alternative budgétaire — efficacité similaire
FV0511VK3,FV30VQ3,GRP-084,Alternative budgétaire — efficacité similaire
FV0511VKS3,FV30VQ3,GRP-084,Alternative budgétaire — efficacité similaire
OD9005PB,OD1209PB,GRP-085,Interchangeable selon disponibilité stock
FV1115VKL3,FV1115VK3,GRP-086,Alternative budgétaire — efficacité similaire
FV1115VKL3,A110FC,GRP-086,Alternative budgétaire — efficacité similaire
FV1115VK3,A110FC,GRP-086,Alternative budgétaire — efficacité similaire
99024,BDD,GRP-087,Modèle équivalent — délai livraison différent
15500213002731,15500213001329,GRP-088,Interchangeable selon disponibilité stock
11501020000461,11501020000401,GRP-089,Remplaçant direct — même gamme
11501020000461,11501020000301,GRP-089,Remplaçant direct — même gamme
11501020000401,11501020000301,GRP-089,Remplaçant direct — même gamme
11501020000361,15500213003329,GRP-090,"Même capacité, marques différentes"
11501020000361,15422000018613,GRP-090,"Même capacité, marques différentes"
15500213003329,15422000018613,GRP-090,"Même capacité, marques différentes"
11501020000402,11501020000421,GRP-091,Option premium équivalente
8145-20,8045-00,GRP-092,Modèle équivalent — délai livraison différent
8145-20,99DET02,GRP-092,Modèle équivalent — délai livraison différent
8145-20,VBATHW,GRP-092,Modèle équivalent — délai livraison différent
8045-00,99DET02,GRP-092,Modèle équivalent — délai livraison différent
8045-00,VBATHW,GRP-092,Modèle équivalent — délai livraison différent
99DET02,VBATHW,GRP-092,Modèle équivalent — délai livraison différent
8145-00,DTAV40,GRP-093,Modèle équivalent — délai livraison différent
NEXUS™ 2,N1DX,GRP-094,Alternative budgétaire — efficacité similaire
MCAHU-H12B-2A,MCAHU-H09B-2A,GRP-095,Option premium équivalente
MCDHS-H36B-2A,MIH24Q4MN10,GRP-097,"Même capacité, marques différentes"
MCDHS-H36B-2A,MCDHU-H18B-2A,GRP-097,"Même capacité, marques différentes"
MIH24Q4MN10,MCDHU-H18B-2A,GRP-097,"Même capacité, marques différentes"
MIH30Q4MN10,MIH36Q4MN10,GRP-098,Option premium équivalente
MIH30Q4MN10,MCDHU-H24B-2A,GRP-098,Option premium équivalente
MIH30Q4MN10,MIH48Q4MN10,GRP-098,Option premium équivalente
MIH36Q4MN10,MCDHU-H24B-2A,GRP-098,Option premium équivalente
MIH36Q4MN10,MIH48Q4MN10,GRP-098,Option premium équivalente
MCDHU-H24B-2A,MIH48Q4MN10,GRP-098,Option premium équivalente
MCDHU-H09B-2A,MCDHU-H12B-2A,GRP-099,Alternative budgétaire — efficacité similaire
MCDHU-H09B-2A,MCDHS-H48B-2A,GRP-099,Alternative budgétaire — efficacité similaire
MCDHU-H12B-2A,MCDHS-H48B-2A,GRP-099,Alternative budgétaire — efficacité similaire
NKS3,SK4TPHM1,GRP-100,Interchangeable selon disponibilité stock
2135724,PZKP-90E14-HNBR,GRP-101,Remplaçant direct — même gamme
2135724,W43955,GRP-101,Remplaçant direct — même gamme
PZKP-90E14-HNBR,W43955,GRP-101,Remplaçant direct — même gamme
7445,W43203,GRP-102,Modèle équivalent — délai livraison différent
4368-28,035545I,GRP-103,Interchangeable selon disponibilité stock
4368-28,2135,GRP-103,Interchangeable selon disponibilité stock
4368-28,EL049030,GRP-103,Interchangeable selon disponibilité stock
035545I,2135,GRP-103,Interchangeable selon disponibilité stock
035545I,EL049030,GRP-103,Interchangeable selon disponibilité stock
2135,EL049030,GRP-103,Interchangeable selon disponibilité stock
4366-26,PZKP-90E6-HNBR,GRP-104,Interchangeable selon disponibilité stock
4367-28,W43907,GRP-105,Modèle équivalent — délai livraison différent
4367-28,PZKPR-90E12,GRP-105,Modèle équivalent — délai livraison différent
W43907,PZKPR-90E12,GRP-105,Modèle équivalent — délai livraison différent
43612-26,29406-007,GRP-106,Remplaçant direct — même gamme
43612-26,PZKPR-90E14,GRP-106,Remplaçant direct — même gamme
43612-26,W43205,GRP-106,Remplaçant direct — même gamme
29406-007,PZKPR-90E14,GRP-106,Remplaçant direct — même gamme
29406-007,W43205,GRP-106,Remplaçant direct — même gamme
PZKPR-90E14,W43205,GRP-106,Remplaçant direct — même gamme
196035PVC,W43905,GRP-107,Remplaçant direct — même gamme
4365-26,W43953,GRP-108,Alternative budgétaire — efficacité similaire
4365-26,4359,GRP-108,Alternative budgétaire — efficacité similaire
4365-26,43302,GRP-108,Alternative budgétaire — efficacité similaire
W43953,4359,GRP-108,Alternative budgétaire — efficacité similaire
W43953,43302,GRP-108,Alternative budgétaire — efficacité similaire
4359,43302,GRP-108,Alternative budgétaire — efficacité similaire
PZKP-90E4-HNBR,W43909,GRP-109,Interchangeable selon disponibilité stock
PZKP-90E4-HNBR,431,GRP-109,Interchangeable selon disponibilité stock
W43909,431,GRP-109,Interchangeable selon disponibilité stock
1490T,W43304,GRP-110,Remplaçant direct — même gamme
1490T,2131724,GRP-110,Remplaçant direct — même gamme
1490T,W43354,GRP-110,Remplaçant direct — même gamme
W43304,2131724,GRP-110,Remplaçant direct — même gamme
W43304,W43354,GRP-110,Remplaçant direct — même gamme
2131724,W43354,GRP-110,Remplaçant direct — même gamme
43512,A335,GRP-111,"Même capacité, marques différentes"
43512,7395,GRP-111,"Même capacité, marques différentes"
43512,ELB099028,GRP-111,"Même capacité, marques différentes"
A335,7395,GRP-111,"Même capacité, marques différentes"
A335,ELB099028,GRP-111,"Même capacité, marques différentes"
7395,ELB099028,GRP-111,"Même capacité, marques différentes"
2131624,2136,GRP-112,Remplaçant direct — même gamme
2131624,43516,GRP-112,Remplaçant direct — même gamme
2131624,4358,GRP-112,Remplaçant direct — même gamme
2136,43516,GRP-112,Remplaçant direct — même gamme
2136,4358,GRP-112,Remplaçant direct — même gamme
43516,4358,GRP-112,Remplaçant direct — même gamme
W43313,ELBS039030,GRP-113,Alternative budgétaire — efficacité similaire
PZKP-90E10-HNBR,LKF92W-3-1/2,GRP-114,Option premium équivalente
PZKP-90E10-HNBR,LCI122W-4-1/2,GRP-114,Option premium équivalente
PZKP-90E10-HNBR,435,GRP-114,Option premium équivalente
LKF92W-3-1/2,LCI122W-4-1/2,GRP-114,Option premium équivalente
LKF92W-3-1/2,435,GRP-114,Option premium équivalente
LCI122W-4-1/2,435,GRP-114,Option premium équivalente
43610D-26G,433OV6,GRP-115,Option premium équivalente
ELBS059030,PZKP-90E8-HNBR,GRP-116,Option premium équivalente
ELBS059030,ELB054530,GRP-116,Option premium équivalente
ELBS059030,2136824,GRP-116,Option premium équivalente
PZKP-90E8-HNBR,ELB054530,GRP-116,Option premium équivalente
PZKP-90E8-HNBR,2136824,GRP-116,Option premium équivalente
ELB054530,2136824,GRP-116,Option premium équivalente
4365-28,PZKPR-90E4,GRP-117,Option premium équivalente
LK92W-3-1/2,410007I,GRP-118,Option premium équivalente
LK92W-3-1/2,110617020E,GRP-118,Option premium équivalente
LK92W-3-1/2,W43359,GRP-118,Option premium équivalente
410007I,110617020E,GRP-118,Option premium équivalente
410007I,W43359,GRP-118,Option premium équivalente
110617020E,W43359,GRP-118,Option premium équivalente
4366-28,W43963,GRP-119,Remplaçant direct — même gamme
2136724,430,GRP-120,Option premium équivalente
2136724,4364-28,GRP-120,Option premium équivalente
430,4364-28,GRP-120,Option premium équivalente
035482,EL069030,GRP-121,"Même capacité, marques différentes"
436_8_G26,PZKPR-90E8,GRP-122,Interchangeable selon disponibilité stock
43514,PZKP-90E12-HNBR,GRP-123,Alternative budgétaire — efficacité similaire
432OV,436,GRP-124,Option premium équivalente
432OV,A4890,GRP-124,Option premium équivalente
436,A4890,GRP-124,Option premium équivalente
433OV5,PZKPR-90E6,GRP-125,Alternative budgétaire — efficacité similaire
433OV5,43616-24,GRP-125,Alternative budgétaire — efficacité similaire
PZKPR-90E6,43616-24,GRP-125,Alternative budgétaire — efficacité similaire
4174104,417214104,GRP-126,Remplaçant direct — même gamme
4174104,4174106,GRP-126,Remplaçant direct — même gamme
417214104,4174106,GRP-126,Remplaçant direct — même gamme
417OV,417314106,GRP-127,"Même capacité, marques différentes"
417OV,417314104,GRP-127,"Même capacité, marques différentes"
417OV,417314105,GRP-127,"Même capacité, marques différentes"
417314106,417314104,GRP-127,"Même capacité, marques différentes"
417314106,417314105,GRP-127,"Même capacité, marques différentes"
417314104,417314105,GRP-127,"Même capacité, marques différentes"
GV2102,417,GRP-128,Remplaçant direct — même gamme
QREV1024SC,200RB3T4,GRP-129,Interchangeable selon disponibilité stock
ME9S240HP,KT-47-VZP40,GRP-130,Remplaçant direct — même gamme
032L1209,MKC124AC,GRP-131,Modèle équivalent — délai livraison différent
032L1209,ERDE-1.5-Z,GRP-131,Modèle équivalent — délai livraison différent
032L1209,161094,GRP-131,Modèle équivalent — délai livraison différent
MKC124AC,ERDE-1.5-Z,GRP-131,Modèle équivalent — délai livraison différent
MKC124AC,161094,GRP-131,Modèle équivalent — délai livraison différent
ERDE-1.5-Z,161094,GRP-131,Modèle équivalent — délai livraison différent
B14S2,032G1077,GRP-132,Modèle équivalent — délai livraison différent
"LDK110000070,LDK110000-070",161025,GRP-133,Remplaçant direct — même gamme
"LDK110000070,LDK110000-070",169346,GRP-133,Remplaçant direct — même gamme
161025,169346,GRP-133,Remplaçant direct — même gamme
169414,SBFSEAAZP,GRP-134,Remplaçant direct — même gamme
169414,QREV1224SC,GRP-134,Remplaçant direct — même gamme
SBFSEAAZP,QREV1224SC,GRP-134,Remplaçant direct — même gamme
161008,15500203000108,GRP-135,"Même capacité, marques différentes"
161008,MKC224AC,GRP-135,"Même capacité, marques différentes"
161008,VAX4B,GRP-135,"Même capacité, marques différentes"
15500203000108,MKC224AC,GRP-135,"Même capacité, marques différentes"
15500203000108,VAX4B,GRP-135,"Même capacité, marques différentes"
MKC224AC,VAX4B,GRP-135,"Même capacité, marques différentes"
15500208000074,806757,GRP-136,Remplaçant direct — même gamme
15500208000074,EBQE34,GRP-136,Remplaçant direct — même gamme
15500208000074,PZKP-BV10-HNBR,GRP-136,Remplaçant direct — même gamme
806757,EBQE34,GRP-136,Remplaçant direct — même gamme
